Group	Italian	English
1	Vexilla	Vexilla
1	regis	regis
1	prodeunt	prodeunt
1	inferni	inferni
1	verso	toward
1	di	-
1	noi	us
1	però	therefore
1	dinanzi	in front
1	mira	look
1	disse	said
1	'l	-
1	maestro	Master
1	mio	my
1	se	if
1	tu	thou
1	'l	him
1	discerni	discernest
2	Come	As
2	quando	when
2	una	a
2	grossa	thick
2	nebbia	fog
2	spira	breathes
2	o	or
2	quando	when
2	l'	-
2	emisperio	hemisphere
2	nostro	our
2	annotta	grows dark with night
2	par	seems
2	di	from
2	lungi	afar
2	un	a
2	molin	mill
2	che	that
2	'l	the
2	vento	wind
2	gira	turns
3	veder	saw
3	mi	to me
3	parve	it seemed
3	un	a
3	tal	such
3	dificio	structure
3	allotta	then
4	poi	Then
4	per	because of
4	lo	the
4	vento	wind
4	mi	me
4	ristrinsi	drew
4	retro	behind
4	al	-
4	duca	Leader
4	mio	my
4	ché	for
4	non	no
4	lì	there
4	era	was
4	altra	other
4	grotta	shelter
4	Già	now
4	era	I was
4	e	and
4	con	with
4	paura	fear
4	il	it
4	metto	put
4	in	in
4	metro	verse
5	là	there
5	dove	where
5	l'	-
5	ombre	shades
5	tutte	wholly
5	eran	were
5	coperte	covered
5	e	and
5	trasparien	showed through
5	come	like
5	festuca	a straw
5	in	in
5	vetro	glass
5	Altre	Some
5	sono	are
5	a	-
5	giacere	lying
5	altre	some
5	stanno	stand
5	erte	erect
6	quella	this
6	col	on
6	capo	his head
6	e	and
6	quella	that
6	con	on
6	le	his
6	piante	soles
6	altra	another
6	com'	like
6	arco	a bow
6	il	his
6	volto	face
6	a'	to
6	piè	his feet
6	rinverte	inverts
7	Quando	When
7	noi	we
7	fummo	had
7	fatti	gone
7	tanto	so
7	avante	far forward
7	ch'	that
7	al	to
7	mio	my
7	maestro	Master
7	piacque	pleased
7	di	to
7	mostrarmi	show me
7	la	the
7	creatura	creature
7	ch'	that
7	ebbe	had
7	il	the
7	bel	fair
7	sembiante	semblance
8	d'	from
8	innanzi	before
8	mi	me
8	si	himself
8	tolse	took
8	e	and
8	fé	made
8	restarmi	stop
8	Ecco	Behold
8	Dite	Dis
8	dicendo	saying
8	ed	and
8	ecco	behold
8	il	the
8	loco	place
8	ove	where
8	convien	is needful
8	che	that
8	di	with
8	fortezza	fortitude
8	t'	thee
8	armi	arm
9	Com'	How
9	io	I
9	divenni	became
9	allor	then
9	gelato	chilled
9	e	and
9	fioco	hoarse
9	nol	it not
9	dimandar	ask
9	lettor	Reader
9	ch'	for
9	i'	I
9	non	not
9	lo	it
9	scrivo	write
9	però	because
9	ch'	-
9	ogne	all
9	parlar	speech
9	sarebbe	would be
9	poco	little
10	Io	I
10	non	not
10	mori'	die
10	e	and
10	non	not
10	rimasi	remain
10	vivo	alive
10	pensa	Think
10	oggimai	now
10	per	for
10	te	thyself
10	s'	if
10	hai	hast
10	fior	grain
10	d'	of
10	ingegno	wit
10	qual	what
10	io	I
10	divenni	became
10	d'	-
10	uno	one
10	e	and
10	d'	the
10	altro	other
10	privo	deprived
11	Lo	The
11	'mperador	emperor
11	del	of the
11	doloroso	woeful
11	regno	realm
11	da	from
11	mezzo	mid
11	'l	his
11	petto	breast
11	uscia	issued
11	fuor	forth
11	de	from
11	la	the
11	ghiaccia	ice
11	e	and
11	più	better
11	con	with
11	un	a
11	gigante	giant
11	io	I
11	mi	-
11	convegno	match
12	che	-
12	i	-
12	giganti	-
12	non	-
12	fan	-
12	con	-
12	le	-
12	sue	-
12	braccia	-
12	vedi	See
12	oggimai	now
12	quant'	how great
12	esser	be
12	dee	must
12	quel	that
12	tutto	whole
12	ch'	which
12	a	to
12	così	such
12	fatta	-
12	parte	parts
12	si	-
12	confaccia	corresponds
13	S'	If
13	el	he
13	fu	was
13	sì	as
13	bel	fair
13	com'	as
13	elli	he
13	è	is
13	ora	now
13	brutto	foul
13	e	and
13	contra	against
13	'l	-
13	suo	his
13	fattore	Maker
13	alzò	lifted up
13	le	his
13	ciglia	brow
13	ben	surely
13	dee	may
13	da	from
13	lui	him
13	procedere	proceed
13	ogne	all
13	lutto	tribulation
14	Oh	Oh
14	quanto	how
14	parve	seemed
14	a	to
14	me	me
14	gran	great
14	maraviglia	marvel
14	quand'	when
14	io	I
14	vidi	saw
14	tre	three
14	facce	faces
14	a	on
14	la	-
14	sua	his
14	testa	head
14	L'	-
14	una	one
14	dinanzi	in front
14	e	and
14	quella	that
14	era	was
14	vermiglia	red
15	l'	the
15	altr'	others
15	eran	were
15	due	two
15	che	that
15	s'	were
15	aggiugnieno	joined
15	a	to
15	questa	this
15	sovresso	above
15	'l	the
15	mezzo	very middle
15	di	of
15	ciascuna	each
15	spalla	shoulder
15	e	and
15	sé	they
15	giugnieno	were joined together
15	al	at the
15	loco	place
15	de	of
15	la	the
15	cresta	crest
16	e	and
16	la	the
16	destra	right
16	parea	seemed
16	tra	between
16	bianca	white
16	e	and
16	gialla	yellow
16	la	the
16	sinistra	left
16	a	to
16	vedere	sight
16	era	was
16	tal	such
16	quali	as those
16	vegnon	who come
16	di	from
16	là	-
16	onde	where
16	'l	the
16	Nilo	Nile
16	s'	-
16	avvalla	flows valleyward
17	Sotto	Beneath
17	ciascuna	each
17	uscivan	came forth
17	due	two
17	grand'	great
17	ali	wings
17	quanto	of size
17	si	-
17	convenia	befitting
17	a	-
17	tanto	so huge a
17	uccello	bird
17	vele	Sails
17	di	of the
17	mar	sea
17	non	never
17	vid'	saw
17	io	I
17	mai	-
17	cotali	such
18	Non	no
18	avean	had
18	penne	feathers
18	ma	but
18	di	of
18	vispistrello	bat
18	era	was
18	lor	their
18	modo	fashion
18	e	and
18	quelle	them
18	svolazzava	was flapping
18	sì	so
18	che	that
18	tre	three
18	venti	winds
18	si	-
18	movean	went forth
18	da	from
18	ello	him
19	quindi	whereby
19	Cocito	Cocytus
19	tutto	all
19	s'	was
19	aggelava	congealed
19	Con	With
19	sei	six
19	occhi	eyes
19	piangëa	he was weeping
19	e	and
19	per	over
19	tre	three
19	menti	chins
19	gocciava	trickled
19	'l	the
19	pianto	tears
19	e	and
19	sanguinosa	bloody
19	bava	drivel
20	Da	With
20	ogne	each
20	bocca	mouth
20	dirompea	was crushing
20	co'	with
20	denti	teeth
20	un	a
20	peccatore	sinner
20	a	in
20	guisa	manner
20	di	of
20	maciulla	brake
20	sì	so
20	che	that
20	tre	three
20	ne	of them
20	facea	was making
20	così	thus
20	dolenti	woeful
21	A	To
21	quel	the one
21	dinanzi	in front
21	il	the
21	mordere	biting
21	era	was
21	nulla	nothing
21	verso	to
21	'l	the
21	graffiar	clawing
21	che	so that
21	talvolta	sometimes
21	la	his
21	schiena	spine
21	rimanea	remained
21	de	of
21	la	-
21	pelle	skin
21	tutta	all
21	brulla	stripped
22	Quell'	That
22	anima	soul
22	là	up
22	sù	there
22	c'	which
22	ha	has
22	maggior	greatest
22	pena	punishment
22	disse	said
22	'l	the
22	maestro	Master
22	è	is
22	Giuda	Judas
22	Scarïotto	Iscariot
22	che	who
22	'l	his
22	capo	head
22	ha	has
22	dentro	within
22	e	and
22	fuor	outside
22	le	his
22	gambe	legs
22	mena	plies
23	De	Of
23	li	the
23	altri	other
23	due	two
23	c'	who
23	hanno	have
23	il	their
23	capo	heads
23	di	-
23	sotto	down
23	quel	he
23	che	who
23	pende	hangs
23	dal	from the
23	nero	black
23	ceffo	muzzle
23	è	is
23	Bruto	Brutus
23	vedi	see
23	come	how
23	si	he
23	storce	writhes
23	e	and
23	non	no
23	fa	says
23	motto	word
24	e	and
24	l'	the
24	altro	other
24	è	is
24	Cassio	Cassius
24	che	who
24	par	seems
24	sì	so
24	membruto	large-limbed
24	Ma	But
24	la	the
24	notte	night
24	risurge	is rising again
24	e	and
24	oramai	now
24	è	must
24	da	-
24	partir	depart
24	ché	for
24	tutto	the whole
24	avem	we have
24	veduto	seen
25	Com'	As
25	a	-
25	lui	his
25	piacque	was pleasure
25	il	-
25	collo	neck
25	li	his
25	avvinghiai	I clasped
25	ed	and
25	el	he
25	prese	took
25	di	of
25	tempo	time
25	e	and
25	loco	place
25	poste	opportunity
25	e	and
25	quando	when
25	l'	the
25	ali	wings
25	fuoro	were
25	aperte	opened
25	assai	wide
26	appigliò	caught hold
26	sé	-
26	a	on
26	le	the
26	vellute	shaggy
26	coste	flanks
26	di	from
26	vello	shag
26	in	to
26	vello	shag
26	giù	-
26	discese	descended
26	poscia	then
26	tra	between
26	'l	the
26	folto	bushy
26	pelo	hair
26	e	and
26	le	the
26	gelate	frozen
26	croste	crusts
27	Quando	When
27	noi	we
27	fummo	were
27	là	-
27	dove	where
27	la	the
27	coscia	thigh
27	si	-
27	volge	turns
27	a	-
27	punto	just
27	in	-
27	sul	on the
27	grosso	thick
27	de	of
27	l'	the
27	anche	haunch
27	lo	my
27	duca	Leader
27	con	with
27	fatica	effort
27	e	and
27	con	with
27	angoscia	stress of breath
28	volse	turned
28	la	his
28	testa	head
28	ov'	where
28	elli	he
28	avea	had
28	le	his
28	zanche	shanks
28	e	and
28	aggrappossi	clambered
28	al	by
28	pel	hair
28	com'	as
28	om	a man
28	che	that
28	sale	ascends
28	sì	so
28	che	that
28	'n	to
28	inferno	hell
28	i'	I
