Group	Italian	English
1	Già	Now
1	era	was
1	dritta	erect
1	in	-
1	sù	-
1	la	the
1	fiamma	flame
1	e	and
1	queta	quiet
1	per	through
1	non	not
1	dir	speaking
1	più	more
1	e	and
1	già	now
1	da	from
1	noi	us
1	sen	was
1	gia	going
1	con	with
1	la	the
1	licenza	permission
1	del	of the
1	dolce	sweet
1	poeta	poet
2	quand'	when
2	un'	another
2	altra	another
2	che	that
2	dietro	behind
2	a	-
2	lei	it
2	venìa	was coming
2	ne	us
2	fece	made
2	volger	turn
2	li	our
2	occhi	eyes
2	a	to
2	la	-
2	sua	its
2	cima	tip
2	per	by
2	un	a
2	confuso	confused
2	suon	sound
2	che	that
2	fuor	forth
2	n'	therefrom
2	uscia	issued
3	Come	As
3	'l	the
3	bue	bull
3	cicilian	Sicilian
3	che	that
3	mugghiò	bellowed
3	prima	first
3	col	with
3	pianto	plaint
3	di	of
3	colui	him
3	e	and
3	ciò	that
3	fu	was
3	dritto	right
3	che	who
3	l'	it
3	avea	had
3	temperato	shaped
3	con	with
3	sua	his
3	lima	file
4	mugghiava	was wont to bellow
4	con	with
4	la	the
4	voce	voice
4	de	of
4	l'	the
4	afflitto	sufferer
4	sì	so
4	che	that
4	con	although
4	tutto	-
4	che	-
4	fosse	it was
4	di	of
4	rame	brass
4	pur	yet
4	el	it
4	pareva	appeared
4	dal	with
4	dolor	pain
4	trafitto	transfixed
5	così	thus
5	per	through
5	non	not
5	aver	having
5	via	way
5	né	or
5	forame	outlet
5	dal	at
5	principio	first
5	nel	from the
5	foco	fire
5	in	into
5	suo	its
5	linguaggio	language
5	si	-
5	convertïan	were converted
5	le	the
5	parole	words
5	grame	disconsolate
6	Ma	But
6	poscia	when
6	ch'	-
6	ebber	had
6	colto	taken
6	lor	their
6	vïaggio	course
6	su	up
6	per	through
6	la	the
6	punta	point
6	dandole	giving it
6	quel	that
6	guizzo	vibration
6	che	which
6	dato	given
6	avea	had
6	la	the
6	lingua	tongue
6	in	in
6	lor	their
6	passaggio	passage
7	udimmo	we heard
7	dire	say
7	O	O
7	tu	thou
7	a	to
7	cu'	whom
7	io	I
7	drizzo	direct
7	la	my
7	voce	voice
7	e	thou
7	che	that
7	parlavi	wast speaking
7	mo	just
7	lombardo	Lombard
7	dicendo	saying
7	Istra	Now
7	ten	thy
7	va	go thy way
7	più	more
7	non	no
7	t'	thee
7	adizzo	urge
8	perch'	although
8	io	I
8	sia	may have
8	giunto	arrived
8	forse	perchance
8	alquanto	somewhat
8	tardo	late
8	non	not
8	t'	thee
8	incresca	irk
8	restare	stop
8	a	to
8	parlar	speak
8	meco	with me
8	vedi	behold
8	che	-
8	non	not
8	incresce	irks
8	a	-
8	me	me
8	e	and
8	ardo	I am burning
9	Se	If
9	tu	thou
9	pur	but
9	mo	now
9	in	into
9	questo	this
9	mondo	world
9	cieco	blind
9	caduto	fallen
9	se'	art
9	di	from
9	quella	that
9	dolce	sweet
9	terra	land
9	latina	Italian
9	ond'	whence
9	io	I
9	mia	my
9	colpa	sin
9	tutta	all
9	reco	bring
10	dimmi	tell me
10	se	if
10	Romagnuoli	the Romagnuoli
10	han	have
10	pace	peace
10	o	or
10	guerra	war
10	ch'	for
10	io	I
10	fui	was
10	d'	from
10	i	the
10	monti	mountains
10	là	there
10	intra	between
10	Orbino	Urbino
10	e	and
10	'l	the
10	giogo	chain
10	di	from
10	che	which
10	Tever	Tiber
10	si	is
10	diserra	unlocked
11	Io	I
11	era	was
11	in	-
11	giuso	downward
11	ancora	still
11	attento	attent
11	e	and
11	chino	leaning over
11	quando	when
11	il	-
11	mio	my
11	duca	Leader
11	mi	me
11	tentò	touched
11	di	on
11	costa	side
11	dicendo	saying
11	Parla	Speak
11	tu	thou
11	questi	this
11	è	is
11	latino	Italian
12	E	And
12	io	I
12	ch'	who
12	avea	had
12	già	even now
12	pronta	ready
12	la	my
12	risposta	answer
12	sanza	without
12	indugio	delay
12	a	to
12	parlare	speak
12	incominciai	began
12	O	O
12	anima	soul
12	che	that
12	se'	art
12	là	there
12	giù	below
12	nascosta	hidden
13	Romagna	Romagna
13	tua	thy
13	non	not
13	è	is
13	e	and
13	non	never
13	fu	was
13	mai	never
13	sanza	without
13	guerra	war
13	ne'	in the
13	cuor	hearts
13	de'	of
13	suoi	her
13	tiranni	tyrants
13	ma	but
13	'n	-
13	palese	open
13	nessuna	none
13	or	now
13	vi	there
13	lasciai	have I left
14	Ravenna	Ravenna
14	sta	is
14	come	as
14	stata	been
14	è	hath
14	molt'	many
14	anni	years
14	l'	the
14	aguglia	eagle
14	da	of
14	Polenta	Polenta
14	la	there
14	si	-
14	cova	brooding
14	sì	so
14	che	that
14	Cervia	Cervia
14	ricuopre	covers
14	co'	with
14	suoi	his
14	vanni	wings
15	La	The
15	terra	city
15	che	that
15	fé	made
15	già	erewhile
15	la	the
15	lunga	long
15	prova	struggle
15	e	and
15	di	of
15	Franceschi	French
15	sanguinoso	bloody
15	mucchio	heap
15	sotto	beneath
15	le	the
15	branche	paws
15	verdi	green
15	si	itself
15	ritrova	finds again
16	E	And
16	'l	the
16	mastin	mastiff
16	vecchio	old
16	e	and
16	'l	the
16	nuovo	new
16	da	of
16	Verrucchio	Verrucchio
16	che	who
16	fecer	made
16	di	of
16	Montagna	Montagna
16	il	the
16	mal	ill
16	governo	disposal
16	là	there
16	dove	where
16	soglion	are wont
16	fan	make
16	d'	of
16	i	their
16	denti	teeth
16	succhio	anger
17	Le	the
17	città	city
17	di	of
17	Lamone	Lamone
17	e	and
17	di	of
17	Santerno	Santerno
17	conduce	governs
17	il	The
17	lïoncel	little lion
17	dal	of the
17	nido	lair
17	bianco	white
17	che	and
17	muta	changes
17	parte	side
17	da	from
17	la	-
17	state	summer
17	al	to
17	verno	winter
18	E	And
18	quella	she
18	cu'	whose
18	il	the
18	Savio	Savio
18	bagna	bathes
18	il	-
18	fianco	flank
18	così	even
18	com'	as
18	ella	she
18	sie'	sits
18	tra	between
18	'l	the
18	piano	plain
18	e	and
18	'l	the
18	monte	mountain
18	tra	between
18	tirannia	tyranny
18	si	-
18	vive	lives
18	e	and
18	stato	state
18	franco	a free
19	Ora	Now
19	chi	who
19	se'	thou art
19	ti	thee
19	priego	pray
19	che	that
19	ne	us
19	conte	tell
19	non	not
19	esser	be
19	duro	harder
19	più	-
19	ch'	than
19	altri	another
19	sia	hath
19	stato	been
19	se	so
19	'l	-
19	nome	name
19	tuo	thy
19	nel	in the
19	mondo	world
19	tegna	may hold
19	fronte	front
20	Poscia	After
20	che	-
20	'l	the
20	foco	fire
20	alquanto	somewhat
20	ebbe	had
20	rugghiato	roared
20	al	according to
20	modo	fashion
20	suo	its
20	l'	the
20	aguta	sharp
20	punta	point
20	mosse	moved
20	di	this
20	qua	way
20	di	and
20	là	that
20	e	and
20	poi	then
20	diè	gave forth
20	cotal	this
20	fiato	breath
21	S'	If
21	i'	I
21	credesse	could believe
21	che	that
21	mia	my
21	risposta	answer
21	fosse	might be
21	a	to
21	persona	person
21	che	who
21	mai	ever
21	tornasse	should return
21	al	unto the
21	mondo	world
21	questa	this
21	fiamma	flame
21	staria	would stand
21	sanza	without
21	più	more
21	scosse	quiverings
22	ma	but
22	però	inasmuch
22	che	as
22	già	-
22	mai	never
22	di	from
22	questo	this
22	fondo	depth
22	non	-
22	tornò	did return
22	vivo	living
22	alcun	any man
22	s'	if
22	i'	I
22	odo	hear
22	il	-
22	vero	truth
22	sanza	without
22	tema	fear
22	d'	of
22	infamia	infamy
22	ti	thee
22	rispondo	answer
23	Io	I
23	fui	was
23	uom	man
23	d'	of
23	arme	arms
23	e	and
23	poi	then
23	fui	became
23	cordigliero	cordelier
23	credendomi	trusting
23	sì	thus
23	cinto	girt
23	fare	to make
23	ammenda	amends
23	e	and
23	certo	surely
23	il	-
23	creder	trust
23	mio	my
23	venìa	had been
23	intero	fulfilled
24	se	but
24	non	-
24	fosse	for
24	il	the
24	gran	Great
24	prete	Priest
24	a	-
24	cui	whom
24	mal	ill
24	prenda	may betide
24	che	who
24	mi	me
24	rimise	set back
24	ne	into
24	le	my
24	prime	first
24	colpe	sins
24	e	and
24	come	how
24	e	and
24	quare	wherefore
24	voglio	I will
24	che	that
24	m'	from me
24	intenda	thou hear
25	Mentre	While
25	ch'	-
25	io	I
25	forma	that form
25	fui	was
25	d'	of
25	ossa	bone
25	e	and
25	di	of
25	polpe	flesh
25	che	that
25	la	my
25	madre	mother
25	mi	me
25	diè	gave
25	l'	-
25	opere	works
25	mie	my
25	non	not
25	furon	were
25	leonine	leonine
25	ma	but
25	di	of
25	volpe	the fox
26	Li	The
26	accorgimenti	wily practices
26	e	and
26	le	the
26	coperte	covert
26	vie	ways
26	io	I
26	seppi	knew
26	tutte	all
26	e	and
26	sì	so
26	menai	plied
26	lor	their
26	arte	art
26	ch'	that
26	al	to
26	fine	end
26	de	-
26	la	-
26	terra	earth’s
26	il	the
26	suono	sound
26	uscie	went forth
27	Quando	When
27	mi	me
27	vidi	saw
27	giunto	arrived
27	in	at
27	quella	that
27	parte	part
27	di	of
27	mia	my
27	etade	age
27	ove	where
27	ciascun	every one
27	dovrebbe	ought
27	calar	strike
27	le	the
27	vele	sails
27	e	and
27	raccoglier	coil up
27	le	the
27	sarte	ropes
28	ciò	what
28	che	-
28	pria	erst
28	mi	to me
28	piacëa	was pleasing
28	allor	then
28	m'	me
28	increbbe	gave me pain
28	e	and
28	pentuto	repentant
28	e	and
28	confesso	confessed
28	mi	me
28	rendei	yielded
28	ahi	Alas
28	miser	wretched
28	lasso	-
28	e	and
28	giovato	availed
28	sarebbe	it would have
29	Lo	The
29	principe	Prince
29	d'	of
29	i	the
29	novi	new
29	Farisei	Pharisees
29	avendo	having
29	guerra	war
29	presso	near
29	a	the
29	Laterano	Lateran
29	e	and
29	non	not
29	con	with
29	Saracin	Saracens
29	né	nor
29	con	with
29	Giudei	Jews
30	ché	for
30	ciascun	every
30	suo	his
30	nimico	enemy
30	era	was
30	cristiano	Christian
30	e	and
30	nessun	none of them
30	era	had
30	stato	been
30	a	to
30	vincer	conquer
30	Acri	Acre
30	né	nor
30	mercatante	a trafficker
30	in	in
30	terra	land
30	di	of the
30	Soldano	Soldan
31	né	neither
31	sommo	supreme
31	officio	office
31	né	nor
31	ordini	orders
31	sacri	holy
31	guardò	regarded
31	in	in
31	sé	himself
31	né	nor
31	in	in
31	me	me
31	quel	that
31	capestro	cord
31	che	which
31	solea	is wont
31	fare	make
31	i	those
31	suoi	with it
31	cinti	girt
31	più	more
31	macri	lean
32	Ma	but
32	come	as
32	Costantin	Constantine
32	chiese	besought
32	Silvestro	Sylvester
32	d'	-
32	entro	within
32	Siratti	Soracte
32	a	to
32	guerir	cure
32	de	his
32	la	-
32	lebbre	leprosy
32	così	so
32	mi	me
32	chiese	besought
32	questi	this one
32	per	as
32	maestro	master
33	a	to
33	guerir	cure
33	de	of
33	la	-
33	sua	his
33	superba	proud
33	febbre	fever
33	domandommi	He asked of me
33	consiglio	counsel
33	e	and
33	io	I
