Group	Italian	English
1	Nel	Midway
1	mezzo	Midway
1	del	of
1	cammin	road
1	di	of
1	nostra	our
1	vita	life
1	mi	I myself
1	ritrovai	found
1	per	within for
1	una	a
1	selva	wood
1	oscura	dark
1	ché	for
1	la	the
1	diritta	right
1	via	way
1	era	had
1	smarrita	missed
2	Ahi	Ah
2	quanto	how
2	a	a
2	dir	tell
2	qual	what
2	era	was
2	è	is
2	cosa	thing
2	dura	hard
2	esta	this
2	selva	wood
2	selvaggia	wild
2	e	and
2	aspra	rough
2	e	and
2	forte	dense
2	che	which
2	nel	in
2	pensier	thought
2	rinova	renews
2	la	the
2	paura	fear
3	Tant'	So
3	è	is
3	amara	bitter it
3	che	that
3	poco	little
3	è	is
3	più	more
3	morte	death
3	ma	But
3	per	in order
3	trattar	treat
3	del	of
3	ben	good
3	ch'	that
3	i'	I
3	vi	there
3	trovai	found
3	dirò	will tell
3	de	of
3	l'	the
3	altre	other
3	cose	things
3	ch'	that
3	i'	I
3	v'	there
3	ho	have
3	scorte	seen
4	Io	I
4	non	cannot
4	so	so
4	ben	well
4	ridir	recount
4	com'	how
4	i'	I
4	v'	entered
4	intrai	entered
4	tant'	so
4	era	was
4	pien	full
4	di	of
4	sonno	slumber
4	a	at
4	quel	that
4	punto	point
4	che	where
4	la	the
4	verace	true
4	via	way
4	abbandonai	I abandoned
5	Ma	But
5	poi	after
5	ch'	after
5	i'	I
5	fui	had arrived
5	al	at
5	piè	foot
5	d'	of
5	un	a
5	colle	hill
5	giunto	arrived
5	là	where
5	dove	where
5	terminava	ended
5	quella	that
5	valle	valley
5	che	which
5	m'	my
5	avea	had
5	di	with
5	paura	fear
5	il	my
5	cor	heart
5	compunto	pierced
6	guardai	looked
6	in	on
6	alto	high
6	e	and
6	vidi	saw
6	le	its
6	sue	its
6	spalle	shoulders
6	vestite	clothed
6	già	already
6	de'	with
6	raggi	rays
6	del	of
6	pianeta	planet
6	che	that
6	mena	leadeth
6	dritto	aright
6	altrui	men
6	per	along
6	ogne	every
6	calle	path
7	Allor	Then
7	fu	was
7	la	the
7	paura	fear
7	un	a
7	poco	little
7	queta	quieted
7	che	which
7	nel	in
7	lago	lake
7	del	of
7	cor	heart
7	m'	my
7	era	had
7	durata	lasted
7	la	the
7	notte	night
7	ch'	that
7	i'	I
7	passai	passed
7	con	through
7	tanta	so
7	pieta	piteously
8	E	And even
8	come	as
8	quei	one
8	che	who
8	con	with
8	lena	breath
8	affannata	spent
8	uscito	issued
8	fuor	out
8	del	of
8	pelago	sea
8	a	upon to
8	la	the
8	riva	shore
8	si	turns
8	volge	turns
8	a	to
8	l'	the
8	acqua	water
8	perigliosa	perilous
8	e	and
8	guata	gazes
9	così	so
9	l'	my
9	animo	soul
9	mio	my
9	ch'	which
9	ancor	still
9	fuggiva	was flying
9	si	turn
9	volse	turn
9	a	to
9	retro	back
9	a	to
9	rimirar	look again
9	lo	the
9	passo	pass
9	che	which
9	non	never
9	lasciò	had left
9	già	never
9	mai	never
9	persona	person
9	viva	living
10	Poi	After
10	ch'	After
10	èi	I
10	posato	had rested
10	un	a
10	poco	little
10	il	my
10	corpo	body
10	lasso	weary
10	ripresi	took
10	via	way again
10	per	along
10	la	the
10	piaggia	slope
10	diserta	desert
10	sì	so
10	che	that
10	'l	the
10	piè	foot
10	fermo	firm
10	sempre	always
10	era	was
10	'l	the
10	più	lower
10	basso	lower
11	Ed	And
11	ecco	lo
11	quasi	almost
11	al	at
11	cominciar	beginning
11	de	of
11	l'	-
11	erta	steep
11	una	a
11	lonza	she-leopard
11	leggera	light
11	e	and
11	presta	nimble
11	molto	very
11	che	which
11	di	with
11	pel	coat
11	macolato	spotted
11	era	was
11	coverta	covered
12	e	And
12	non	not
12	mi	-
12	si	-
12	partia	move
12	dinanzi	from before
12	al	-
12	volto	face
12	anzi	nay rather
12	'mpediva	hindered
12	tanto	so
12	il	my
12	mio	my
12	cammino	road
12	ch'	that
12	i'	I
12	fui	had
12	per	to
12	ritornar	return
12	più	oftentimes
12	volte	oftentimes
12	vòlto	turned
13	Temp'	time
13	era	was
13	dal	at
13	principio	beginning
13	del	of
13	mattino	morning
13	e	and
13	'l	the
13	sol	Sun
13	montava	mounting
13	'n	upward
13	sù	upward
13	con	with
13	quelle	those
13	stelle	stars
13	ch'	that
13	eran	was were
13	con	with
13	lui	him
13	quando	when
13	l'	the
13	amor	Love
13	divino	Divine
14	mosse	set motion
14	di	of
14	prima	first
14	quelle	those
14	cose	things
14	belle	beautiful
14	sì	so
14	ch'	so
14	a	concerning
14	bene	good
14	sperar	hope
14	m'	me
14	era	were
14	cagione	occasion
14	di	of
14	quella	that
14	fiera	wild beast
14	a	to with
14	la	the
14	gaetta	dappled
14	pelle	skin
15	l'	the
15	ora	hour
15	del	of
15	tempo	time
15	e	and
15	la	the
15	dolce	sweet
15	stagione	season
15	ma	But
15	non	not
15	sì	so
15	che	that which
15	paura	fear
15	non	not
15	mi	to me
15	desse	give
15	la	the
15	vista	sight
15	che	which
15	m'	me
15	apparve	appeared
15	d'	of
15	un	a
15	leone	lion
16	Questi	He
16	parea	seemed
16	che	seemed
16	contra	against
16	me	me
16	venisse	to be coming
16	con	with
16	la	the
16	test'	head
16	alta	high
16	e	and
16	con	with
