Group	Italian	English
1	Poscia	After
1	che	-
1	'ncontro	counter
1	a	to
1	la	the
1	vita	life
1	presente	present
1	d'	of
1	i	the
1	miseri	wretched
1	mortali	mortals
1	aperse	had disclosed
1	'l	the
1	vero	truth
1	quella	she
1	che	who
1	'mparadisa	imparadises
1	la	-
1	mia	my
1	mente	mind
2	come	as
2	in	in
2	lo	a
2	specchio	mirror
2	fiamma	flame
2	di	its
2	doppiero	candle
2	vede	sees
2	colui	he
2	che	who
2	se	is
2	n'	by
2	alluma	lighted
2	retro	from behind
2	prima	before
2	che	-
2	l'	it
2	abbia	has
2	in	in
2	vista	sight
2	o	or
2	in	in
2	pensiero	thought
3	e	and
3	sé	-
3	rivolge	turns round
3	per	to
3	veder	see
3	se	if
3	'l	the
3	vetro	glass
3	li	him
3	dice	tell
3	il	the
3	vero	truth
3	e	and
3	vede	sees
3	ch'	that
3	el	it
3	s'	-
3	accorda	accords
3	con	with
3	esso	it
3	come	as
3	nota	note
3	con	with
3	suo	its
3	metro	measure
4	così	thus
4	la	the
4	mia	my
4	memoria	memory
4	si	-
4	ricorda	recollects
4	ch'	that
4	io	I
4	feci	did
4	riguardando	looking
4	ne'	into the
4	belli	beautiful
4	occhi	eyes
4	onde	wherewith
4	a	to
4	pigliarmi	ensnare me
4	fece	made
4	Amor	Love
4	la	the
4	corda	cord
5	E	And
5	com'	when
5	io	I
5	mi	-
5	rivolsi	turned
5	e	and
5	furon	were
5	tocchi	touched
5	li	-
5	miei	mine
5	da	by
5	ciò	that
5	che	which
5	pare	is apparent
5	in	in
5	quel	that
5	volume	revolving sphere
5	quandunque	whenever
5	nel	on
5	suo	its
5	giro	gyration
5	ben	fixedly
5	s'	-
5	adocchi	gazes
6	un	a
6	punto	Point
6	vidi	saw
6	che	which
6	raggiava	was raying out
6	lume	light
6	acuto	keen
6	sì	so
6	che	that
6	'l	the
6	viso	sight
6	ch'	on which
6	elli	it
6	affoca	blazes
6	chiuder	close
6	conviensi	must needs
6	per	because of
6	lo	its
6	forte	intense
6	acume	keenness
7	e	And
7	quale	whatso
7	stella	star
7	par	seems
7	quinci	here
7	più	-
7	poca	smallest
7	parrebbe	would seem
7	luna	moon
7	locata	placed
7	con	beside
7	esso	it
7	come	as
7	stella	star
7	con	with
7	stella	star
7	si	-
7	collòca	is placed
8	Forse	Perhaps
8	cotanto	as
8	quanto	as
8	pare	seems
8	appresso	near
8	alo	-
8	cigner	to girdle
8	la	the
8	luce	light
8	che	which
8	'l	it
8	dipigne	paints
8	quando	when
8	'l	the
8	vapor	vapor
8	che	that
8	'l	it
8	porta	bears
8	più	most
8	è	is
8	spesso	dense
9	distante	such distance
9	intorno	round
9	al	the
9	punto	Point
9	un	a
9	cerchio	circle
9	d'	of
9	igne	fire
9	si	-
9	girava	was whirling
9	sì	so
9	ratto	swiftly
9	ch'	that
9	avria	would have
9	vinto	surpassed
9	quel	that
9	moto	motion
9	che	which
9	più	most
9	tosto	speed
9	il	the
9	mondo	world
9	cigne	girds
10	e	and
10	questo	this
10	era	was
10	d'	by
10	un	-
10	altro	another
10	circumcinto	circumcinct
10	e	and
10	quel	that
10	dal	by
10	terzo	third
10	e	and
10	'l	the
10	terzo	third
10	poi	then
10	dal	by
10	quarto	fourth
10	dal	by
10	quinto	fifth
10	il	the
10	quarto	fourth
10	e	and
10	poi	then
10	dal	by
10	sesto	sixth
10	il	the
10	quinto	fifth
11	Sopra	Thereon
11	seguiva	followed
11	il	the
11	settimo	seventh
11	sì	so
11	sparto	spread
11	già	now
11	di	in
11	larghezza	compass
11	che	that
11	'l	the
11	messo	messenger
11	di	of
11	Iuno	Juno
11	intero	entire
11	a	to
11	contenerlo	contain it
11	sarebbe	would be
11	arto	narrow
12	Così	So
12	l'	the
12	ottavo	eighth
12	e	and
12	'l	the
12	nono	ninth
12	e	and
12	chiascheduno	each
12	più	more
12	tardo	slowly
12	si	-
12	movea	was moving
12	secondo	according
12	ch'	as
12	era	was
12	in	in
12	numero	number
12	distante	distant
12	più	more
12	da	from
12	l'	the
12	uno	first
13	e	And
13	quello	that one
13	avea	had
13	la	the
13	fiamma	flame
13	più	-
13	sincera	clearest
13	cui	from which
13	men	least
13	distava	distant
13	la	the
13	favilla	Spark
13	pura	Pure
13	credo	I believe
13	però	because
13	che	-
13	più	more
13	di	of
13	lei	It
13	s'	-
13	invera	partakes
14	La	My
14	donna	Lady
14	mia	-
14	che	who
14	mi	me
14	vedëa	saw
14	in	in
14	cura	doubt
14	forte	deeply
14	sospeso	suspense
14	disse	said
14	Da	On
14	quel	that
14	punto	Point
14	depende	dependent
14	il	-
14	cielo	Heaven
14	e	and
14	tutta	all
14	la	-
14	natura	nature
15	Mira	Gaze
15	quel	that
15	cerchio	circle
15	che	which
15	più	most
15	li	It
15	è	is
15	congiunto	conjoined
15	e	and
15	sappi	know
15	che	that
15	'l	-
15	suo	its
15	muovere	motion
15	è	is
15	sì	so
15	tosto	swift
15	per	because of
15	l'	the
15	affocato	burning
15	amore	love
15	ond'	whereby
15	elli	it
15	è	is
15	punto	spurred
16	E	And
16	io	I
16	a	to
16	lei	her
16	Se	If
16	'l	the
16	mondo	world
16	fosse	were
16	posto	set
16	con	in
16	l'	the
16	ordine	order
16	ch'	which
16	io	I
16	veggio	see
16	in	in
16	quelle	those
16	rote	wheels
16	sazio	satisfied
16	m'	me
16	avrebbe	would have
16	ciò	that
16	che	which
16	m'	me
16	è	is
16	proposto	propounded
17	ma	but
17	nel	in the
17	mondo	world
17	sensibile	of sense
17	si	be
17	puote	may
17	veder	seen
17	le	the
17	volte	revolutions
17	tanto	so much
17	più	the more
17	divine	divine
17	quant'	as
17	elle	they
17	son	are
17	dal	from the
17	centro	centre
17	più	more
17	remote	remote
18	Onde	Wherefore
18	se	if
18	'l	-
18	mio	my
18	disir	desire
18	dee	is to
18	aver	have
18	fine	end
18	in	in
18	questo	this
18	miro	marvellous
18	e	and
18	angelico	angelic
18	templo	temple
18	che	which
18	solo	only
18	amore	love
18	e	and
18	luce	light
18	ha	has
18	per	for
18	confine	confine
19	udir	to hear
19	convienmi	I need
19	ancor	yet
19	come	why
19	l'	the
19	essemplo	example
19	e	and
19	l'	the
19	essemplare	exemplar
19	non	not
19	vanno	go
19	d'	in
19	un	one
19	modo	fashion
19	ché	because
19	io	I
19	per	by
19	me	myself
19	indarno	in vain
19	a	-
19	ciò	this
19	contemplo	contemplate
20	Se	If
20	li	-
20	tuoi	thy
20	diti	fingers
20	non	-
20	sono	are
20	a	for
20	tal	such
20	nodo	knot
20	sufficïenti	insufficient
20	non	no
20	è	is
20	maraviglia	wonder
20	tanto	so
20	per	through
20	non	not
20	tentare	being tried
20	è	has
20	fatto	become
20	sodo	hard
21	Così	Thus
21	la	-
21	donna	Lady
21	mia	my
21	poi	then
21	disse	said
21	Piglia	Take
21	quel	that
21	ch'	which
21	io	I
21	ti	thee
21	dicerò	shall tell
21	se	if
21	vuo'	wouldest
21	saziarti	be satisfied
21	e	and
21	intorno	about
21	da	-
21	esso	it
21	t'	thy
21	assottiglia	make subtle
22	Li	The
22	cerchi	circles
22	corporai	corporeal
22	sono	are
22	ampi	wide
22	e	and
22	arti	narrow
22	secondo	according to
22	il	the
22	più	more
22	e	or
22	'l	the
22	men	less
22	de	of
22	la	-
22	virtute	virtue
22	che	which
22	si	is
22	distende	spread
22	per	through
22	tutte	all
22	lor	their
22	parti	parts
23	Maggior	Greater
23	bontà	goodness
23	vuol	must
23	far	make
23	maggior	greater
23	salute	welfare
23	maggior	greater
23	salute	welfare
23	maggior	the greater
23	corpo	body
23	cape	contains
23	s'	if
23	elli	it
23	ha	has
23	le	its
23	parti	parts
23	igualmente	equally
23	compiute	complete
24	Dunque	Hence
24	costui	this one
24	che	which
24	tutto	all
24	quanto	-
24	rape	sweeps along
24	l'	the
24	altro	rest
24	universo	universe
24	seco	with itself
24	corrisponde	corresponds
24	al	to the
24	cerchio	circle
24	che	which
24	più	most
24	ama	loves
24	e	and
24	che	-
24	più	most
24	sape	knows
25	per	Therefore
25	che	-
25	se	if
25	tu	thou
25	a	round
25	la	the
25	virtù	virtue
25	circonde	compassest
25	la	-
25	tua	thy
25	misura	measure
25	non	not
25	a	round
25	la	the
25	parvenza	seeming
25	de	of
25	le	the
25	sustanze	substances
25	che	which
25	t'	to thee
25	appaion	appear
