Group	Italian	English
1	O	O
1	insensata	insensate
1	cura	care
1	de'	of
1	mortali	mortals
1	quanto	how
1	son	are
1	difettivi	defective
1	silogismi	syllogisms
1	quei	those
1	che	which
1	ti	thee
1	fanno	make
1	in	downward
1	basso	-
1	batter	beat
1	l'	thy
1	ali	wings
2	Chi	One
2	dietro	after
2	a	-
2	iura	Laws
2	e	and
2	chi	one
2	ad	after
2	amforismi	Aphorisms
2	sen	-
2	giva	was going
2	e	and
2	chi	one
2	seguendo	following
2	sacerdozio	priesthood
2	e	and
2	chi	one
2	regnar	to reign
2	per	by
2	forza	force
2	o	or
2	per	by
2	sofismi	sophisms
3	e	and
3	chi	one
3	rubare	to rob
3	e	and
3	chi	one
3	civil	civic
3	negozio	business
3	chi	one
3	nel	in
3	diletto	pleasure
3	de	of
3	la	the
3	carne	flesh
3	involto	involved
3	s'	himself
3	affaticava	was wearying
3	e	and
3	chi	one
3	si	himself
3	dava	was giving
3	a	to
3	l'	the
3	ozio	idleness
4	quando	when
4	da	from
4	tutte	all
4	queste	these
4	cose	things
4	sciolto	loosed
4	con	with
4	Bëatrice	Beatrice
4	m'	I
4	era	was
4	suso	on high
4	in	in
4	cielo	Heaven
4	cotanto	thus
4	glorïosamente	gloriously
4	accolto	received
5	Poi	When
5	che	-
5	ciascuno	each
5	fu	had
5	tornato	returned
5	ne	unto
5	lo	that
5	punto	point
5	del	of the
5	cerchio	circle
5	in	at
5	che	which
5	avanti	at first
5	s'	it
5	era	was
5	fermossi	stayed
5	come	as
5	a	a
5	candellier	candlestick
5	candelo	candle
6	E	And
6	io	I
6	senti'	heard
6	dentro	within
6	a	-
6	quella	that
6	lumera	light
6	che	which
6	pria	first
6	m'	me
6	avea	had
6	parlato	spoken
6	sorridendo	smiling
6	incominciar	began
6	faccendosi	making itself
6	più	more
6	mera	clear
7	Così	Even
7	com'	as
7	io	I
7	del	with
7	suo	its
7	raggio	radiance
7	resplendo	am resplendent
7	sì	so
7	riguardando	looking
7	ne	into
7	la	the
7	luce	Light
7	etterna	Eternal
7	li	-
7	tuoi	thy
7	pensieri	thoughts
7	onde	whence
7	cagioni	occasion
7	apprendo	I apprehend
8	Tu	Thou
8	dubbi	art perplexed
8	e	and
8	hai	hast
8	voler	wish
8	che	that
8	si	be
8	ricerna	bolted again
8	in	in
8	sì	so
8	aperta	open
8	e	and
8	'n	-
8	sì	so
8	distesa	plain
8	lingua	language
8	lo	-
8	dicer	speech
8	mio	my
8	ch'	that
8	al	to
8	tuo	thy
8	sentir	sense
8	si	it may be
8	sterna	level
9	ove	where
9	dinanzi	just now
9	dissi	I said
9	U'	where
9	ben	well
9	s'	one
9	impingua	fattens
9	e	and
9	là	there
9	u'	where
9	dissi	I said
9	Non	not
9	nacque	has been born
9	il	the
9	secondo	second
9	e	and
9	qui	here
9	è	is
9	uopo	need
9	che	that
9	ben	well
9	si	one
9	distingua	distinguish
10	La	The
10	provedenza	Providence
10	che	which
10	governa	governs
10	il	the
10	mondo	world
10	con	with
10	quel	that
10	consiglio	counsel
10	nel	in
10	quale	which
10	ogne	every
10	aspetto	vision
10	creato	created
10	è	is
10	vinto	vanquished
10	pria	ere
10	che	it
10	vada	reach
10	al	the
10	fondo	depth
11	però	in order
11	che	that
11	andasse	might go
11	ver'	toward
11	lo	-
11	suo	her
11	diletto	beloved
11	la	the
11	sposa	bride
11	di	of
11	colui	Him
11	ch'	who
11	ad	with
11	alte	loud
11	grida	cries
11	disposò	espoused
11	lei	her
11	col	with
11	sangue	His blood
11	benedetto	blessed
12	in	in
