Group	Italian	English
1	O	O
1	Padre	Father
1	nostro	our
1	che	who
1	ne'	in
1	cieli	Heaven
1	stai	art
1	non	not
1	circunscritto	circumscribed
1	ma	but
1	per	through
1	più	greater
1	amore	love
1	ch'	which
1	ai	to the
1	primi	first
1	effetti	effects
1	di	on
1	là	high
1	sù	-
1	tu	Thou
1	hai	hast
2	laudato	praised
2	sia	be
2	'l	-
2	tuo	Thy
2	nome	name
2	e	and
2	'l	-
2	tuo	Thy
2	valore	power
2	da	by
2	ogne	every
2	creatura	creature
2	com'	even as
2	è	it is
2	degno	befitting
2	di	to
2	render	render
2	grazie	thanks
2	al	to
2	tuo	Thy
2	dolce	sweet
2	vapore	effluence
3	Vegna	May come
3	ver'	towards
3	noi	us
3	la	the
3	pace	peace
3	del	of
3	tuo	Thy
3	regno	Kingdom
3	ché	for
3	noi	we
3	ad	to
3	essa	it
3	non	not
3	potem	can
3	da	of
3	noi	ourselves
3	s'	if
3	ella	it
3	non	not
3	vien	come
3	con	with
3	tutto	all
3	nostro	our
3	ingegno	striving
4	Come	As
4	del	of
4	suo	their
4	voler	will
4	li	-
4	angeli	angels
4	tuoi	Thine
4	fan	make
4	sacrificio	sacrifice
4	a	to
4	te	Thee
4	cantando	singing
4	osanna	Hosanna
4	così	so
4	facciano	may make
4	li	-
4	uomini	men
4	de'	of
4	suoi	theirs
5	Dà	Give
5	oggi	this day
5	a	-
5	noi	us
5	la	the
5	cotidiana	daily
5	manna	manna
5	sanza	without
5	la	-
5	qual	which
5	per	through
5	questo	this
5	aspro	rough
5	diserto	desert
5	a	-
5	retro	backward
5	va	he goes
5	chi	who
5	più	most
5	di	to
5	gir	go on
5	s'	-
5	affanna	toils
6	E	And
6	come	as
6	noi	we
6	lo	the
6	mal	wrong
6	ch'	that
6	avem	we have
6	sofferto	suffered
6	perdoniamo	pardon
6	a	for
6	ciascuno	every one
6	e	even
6	tu	Thou
6	perdona	pardon
6	benigno	benignant
6	e	and
6	non	not
6	guardar	regard
6	lo	-
6	nostro	our
6	merto	desert
7	Nostra	Our
7	virtù	virtue
7	che	which
7	di	-
7	legger	easily
7	s'	is
7	adona	overcome
7	non	not
7	spermentar	put to proof
7	con	with
7	l'	the
7	antico	old
7	avversaro	adversary
7	ma	but
7	libera	deliver
7	da	from
7	lui	him
7	che	who
7	sì	so
7	la	it
7	sprona	spurs
8	Quest'	This
8	ultima	last
8	preghiera	prayer
8	segnor	Lord
8	caro	dear
8	già	truly
8	non	not
8	si	is
8	fa	made
8	per	for
8	noi	ourselves
8	ché	for
8	non	not
8	bisogna	needful
8	ma	but
8	per	for
8	color	those
8	che	who
8	dietro	behind
8	a	-
8	noi	us
8	restaro	have remained
9	Così	Thus
9	a	for
9	sé	themselves
9	e	and
9	noi	us
9	buona	good
9	ramogna	speed
9	quell'	those
9	ombre	souls
9	orando	praying
9	andavan	were going
9	sotto	under
9	'l	the
9	pondo	weight
9	simile	like
9	a	-
9	quel	that
9	che	of which
9	talvolta	sometimes
9	si	one
9	sogna	dreams
10	disparmente	unequally
10	angosciate	in anguish
10	tutte	all of them
10	a	round and
10	tondo	round
10	e	and
10	lasse	weary
10	su	along
10	per	-
10	la	the
10	prima	first
10	cornice	cornice
10	purgando	purging away
10	la	the
10	caligine	mists
10	del	of the
10	mondo	world
11	Se	If
11	di	-
11	là	there
11	sempre	always
11	ben	good
11	per	for
11	noi	us
11	si	they
11	dice	ask
11	di	-
11	qua	here
11	che	what
11	dire	said
11	e	and
11	far	done
11	per	for
11	lor	them
11	si	be
11	puote	can
11	da	by
11	quei	those
11	c'	who
11	hanno	have
11	al	for their
11	voler	will
11	buona	good
11	radice	root
12	Ben	Truly
12	si	we
12	de'	ought
12	loro	them
12	atar	to aid
12	lavar	to wash away
12	le	the
12	note	marks
12	che	which
12	portar	bore
12	quinci	hence
12	sì	so
12	che	that
12	mondi	pure
12	e	and
12	lievi	light
12	possano	may
12	uscire	go forth
12	a	unto
12	le	the
12	stellate	starry
12	ruote	wheels
13	Deh	Ah!
13	se	so may
13	giustizia	justice
13	e	and
13	pietà	pity
13	vi	you
13	disgrievi	unburden
13	tosto	speedily
13	sì	-
13	che	that
13	possiate	ye may be able to
13	muover	move
13	l'	the
13	ala	wing
13	che	which
13	secondo	according to
13	il	-
13	disio	desire
13	vostro	your
13	vi	you
13	lievi	lift
14	mostrate	show
14	da	on
14	qual	which
14	mano	hand
14	inver'	towards
14	la	the
14	scala	stair
14	si	is
14	va	way
14	più	shortest
14	corto	shortest
14	e	and
14	se	if
14	c'	there
14	è	is
14	più	more
14	d'	than
14	un	one
14	varco	pass
14	quel	that
14	ne	to us
14	'nsegnate	point out
14	che	which
14	men	least
14	erto	steeply
14	cala	slopes
15	ché	for
15	questi	this man
15	che	who
15	vien	comes
15	meco	with me
15	per	because of
15	lo	the
15	'ncarco	load
15	de	of
15	la	the
15	carne	flesh
15	d'	of
15	Adamo	Adam
15	onde	wherewith
15	si	-
15	veste	he is clothed
15	al	of
15	montar	mounting
15	sù	up
15	contra	against
15	sua	his
15	voglia	will
15	è	is
15	parco	chary
16	Le	the
16	lor	-
16	parole	words
16	che	which
16	rendero	they returned
16	a	to
16	queste	these
16	che	that
16	dette	spoken
16	avea	had
16	colui	he
16	cu'	whom
16	io	I
16	seguiva	was following
16	non	not
16	fur	was
16	da	from
16	cui	whom
16	venisser	came
16	manifeste	manifest
17	ma	but
17	fu	it was
17	detto	said
17	A	To
17	man	hand
17	destra	right
17	per	along
17	la	the
17	riva	bank
17	con	with
17	noi	us
17	venite	come ye
17	e	and
17	troverete	ye will find
17	il	the
17	passo	pass
17	possibile	possible
17	a	for
17	salir	to ascend
17	persona	person
17	viva	living
18	E	And
18	s'	if
18	io	I
18	non	not
18	fossi	were
18	impedito	hindered
18	dal	by the
18	sasso	stone
18	che	which
18	la	-
18	cervice	neck
18	mia	my
18	superba	proud
18	doma	tames
18	onde	wherefore
18	portar	carry
18	convienmi	needs must
18	il	my
18	viso	face
18	basso	low
19	cotesti	that one
19	ch'	who
19	ancor	still
19	vive	alive
19	e	and
19	non	not
19	si	is
19	noma	named
19	guardere'	would look at
19	io	I
19	per	to
19	veder	see
19	s'	if
19	i'	I
19	'l	him
19	conosco	know
19	e	and
19	per	to
19	farlo	make him
19	pietoso	pitiful
19	a	of
19	questa	this
19	soma	burden
20	Io	I
20	fui	was
20	latino	Italian
20	e	and
20	nato	born
20	d'	of
20	un	a
20	gran	great
20	Tosco	Tuscan
20	Guiglielmo	Guglielmo
20	Aldobrandesco	Aldobrandesco
20	fu	was
20	mio	my
20	padre	father
20	non	not
20	so	know
20	se	if
20	'l	-
20	nome	name
20	suo	his
20	già	-
20	mai	ever
20	fu	was
20	vosco	with you
21	L'	The
21	antico	ancient
21	sangue	blood
21	e	and
21	l'	the
21	opere	deeds
21	leggiadre	gallant
21	d'	of
21	i	-
21	miei	my
21	maggior	ancestors
21	mi	me
21	fer	made
21	sì	so
21	arrogante	arrogant
21	che	that
21	non	not
21	pensando	thinking
21	a	on
21	la	the
21	comune	common
21	madre	mother
22	ogn'	every
22	uomo	man
22	ebbi	held
22	in	in
22	despetto	scorn
22	tanto	such
22	avante	to extreme
22	ch'	that
22	io	I
22	ne	therefor
22	mori'	died
22	come	as
22	i	the
22	Sanesi	Sienese
22	sanno	know
22	e	and
22	sallo	knows it
22	in	in
22	Campagnatico	Campagnatico
22	ogne	every
22	fante	child
23	Io	I
23	sono	am
23	Omberto	Omberto
23	e	and
23	non	not
23	pur	only
23	a	unto
23	me	me
23	danno	harm
23	superbia	Pride
23	fa	doth
23	ché	for
23	tutti	all
23	miei	my
23	consorti	kinsfolk
23	ha	bath
23	ella	she
23	tratti	dragged
23	seco	with her
23	nel	into
23	malanno	calamity
24	E	and
24	qui	here
24	convien	must
24	ch'	-
24	io	I
24	questo	this
24	peso	weight
24	porti	heap
24	per	on
24	lei	her account
24	tanto	till
24	che	-
24	a	-
24	Dio	God
24	si	be
24	sodisfaccia	satisfied
24	poi	since
24	ch'	-
24	io	I
24	nol	it not
24	fe'	did
24	tra	among
24	vivi	living
24	qui	here
24	tra	among
24	morti	dead
25	Ascoltando	Listening
25	chinai	bent
25	in	-
25	giù	down
25	la	my
25	faccia	face
25	e	and
25	un	one
25	di	of
25	lor	them
25	non	not
25	questi	he
25	che	who
25	parlava	was speaking
25	si	himself
25	torse	twisted
25	sotto	under
25	il	the
25	peso	weight
25	che	that
25	li	him
25	'mpaccia	hampers
26	e	and
26	videmi	saw me
26	e	and
26	conobbemi	recognized me
26	e	and
26	chiamava	called out
26	tenendo	keeping
26	li	his
26	occhi	eyes
26	con	with
26	fatica	effort
26	fisi	fixed
26	a	on
26	me	me
26	che	who
26	tutto	all
26	chin	stooping
26	con	with
26	loro	him
26	andava	was going along
27	Oh	Oh
27	diss'	said
27	io	I
27	lui	to him
27	non	not
27	se'	art
27	tu	thou
27	Oderisi	Oderisi
27	l'	the
27	onor	honor
27	d'	of
27	Agobbio	Gubbio
27	e	and
27	l'	the
27	onor	honor
27	di	of
27	quell'	that
27	arte	art
27	ch'	which
27	alluminar	illumination
27	chiamata	called
27	è	is
27	in	in
27	Parisi	Paris
28	Frate	Brother
28	diss'	said
28	elli	he
28	più	more
28	ridon	smiling are
28	le	the
28	carte	leaves
28	che	that
28	pennelleggia	pencils
28	Franco	Franco
28	Bolognese	of Bologna
28	l'	the
28	onore	honor
28	è	is
28	tutto	all
28	or	now
28	suo	his
28	e	and
28	mio	mine
28	in	in
28	parte	part
29	Ben	Truly
29	non	not
29	sare'	should
29	io	I
29	stato	been
29	sì	so
29	cortese	courteous
29	mentre	while
29	ch'	-
29	io	I
29	vissi	lived
29	per	because of
29	lo	the
29	gran	great
29	disio	desire
29	de	of
29	l'	-
29	eccellenza	excelling
29	ove	whereon
29	mio	my
29	core	heart
29	intese	was intent
30	Di	Of
30	tal	such
30	superbia	pride
30	qui	here
30	si	is
30	paga	paid
30	il	the
30	fio	fee
30	e	and
30	ancor	yet
30	non	not
30	sarei	should be
30	qui	here
30	se	were
30	non	not
30	fosse	it
30	che	that
30	possendo	still having power to
30	peccar	sin
30	mi	me
30	volsi	turned
30	a	unto
30	Dio	God
