Group	Italian	English
1	La	The
1	sete	thirst
1	natural	natural
1	che	which
1	mai	never
1	non	-
1	sazia	satisfied
1	se	save
1	non	-
1	con	with
1	l'	the
1	acqua	water
1	onde	whereof
1	la	the
1	femminetta	poor woman
1	samaritana	of Samaria
1	domandò	besought
1	la	the
1	grazia	grace
2	mi	me
2	travagliava	was tormenting
2	e	and
2	pungeami	was goading me
2	la	the
2	fretta	haste
2	per	along
2	la	the
2	'mpacciata	encumbered
2	via	way
2	dietro	behind
2	al	-
2	mio	my
2	duca	Leader
2	e	and
2	condoleami	I was grieving
2	a	at
2	la	the
2	giusta	just
2	vendetta	vengeance
3	Ed	and
3	ecco	lo
3	sì	-
3	come	as
3	ne	for us
3	scrive	writes
3	Luca	Luke
3	che	that
3	Cristo	Christ
3	apparve	appeared
3	a'	to
3	due	the two
3	ch'	who
3	erano	were
3	in	on
3	via	the way
3	già	now
3	surto	risen
3	fuor	forth
3	de	from
3	la	the
3	sepulcral	sepulchral
3	buca	cave
4	ci	to us
4	apparve	appeared
4	un'	a
4	ombra	shade
4	e	and
4	dietro	behind
4	a	-
4	noi	us
4	venìa	it was coming
4	dal	at its
4	piè	feet
4	guardando	looking at
4	la	the
4	turba	crowd
4	che	that
4	giace	lay
4	né	nor
4	ci	we
4	addemmo	did perceive
4	di	-
4	lei	it
4	sì	so
4	parlò	spoke
4	pria	first
5	dicendo	saying
5	O	-
5	frati	Brothers
5	miei	My
5	Dio	God
5	vi	you
5	dea	may give
5	pace	peace
5	Noi	We
5	ci	-
5	volgemmo	turned
5	sùbiti	suddenly
5	e	and
5	Virgilio	Virgil
5	rendéli	gave back to it
5	'l	the
5	cenno	greeting
5	ch'	which
5	a	to
5	ciò	that
5	si	-
5	conface	answers
6	Poi	then
6	cominciò	he began
6	Nel	In the
6	beato	blest
6	concilio	assembly
6	ti	thee
6	ponga	may place
6	in	in
6	pace	peace
6	la	the
6	verace	true
6	corte	court
6	che	which
6	me	me
6	rilega	relegates
6	ne	into
6	l'	-
6	etterno	eternal
6	essilio	exile
7	Come	How
7	diss'	said
7	elli	it
7	e	and
7	parte	meanwhile
7	andavam	we went on
7	forte	steadily
7	se	if
7	voi	ye
7	siete	are
7	ombre	shades
7	che	that
7	Dio	God
7	sù	on high
7	non	not
7	degni	deigns
7	chi	who
7	v'	you
7	ha	hath
7	per	along
7	la	-
7	sua	his
7	scala	stairs
7	tanto	so far
